code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ISR,0.0041869,0.0041712,0.0041339,0.0048625,0.0048724,0.0059015,0.0059503,0.0058159,0.00741,0.0058585,0.0050036,0.0056836,0.0049991,0.0060056,0.0052871,0.0071819,0.0076095,0.0068049,0.0068423,0.0067918
LBY,0.011984,0.011164,0.012727,0.012571,0.014494,0.013476,0.015229,0.014768,0.014702,0.012566,0.013085,0.012595,0.01261,0.013822,0.014664,0.016122,0.015147,0.014512,0.017029,0.015565
MEX,0.30486,0.28565,0.26466,0.30153,0.27726,0.28054,0.22926,0.25798,0.25569,0.27379,0.24688,0.25576,0.28756,0.19948,0.24448,0.24188,0.28237,0.28297,0.36656,0.29753
SAU,0.068431,0.067098,0.056078,0.068407,0.059742,0.056469,0.073292,0.074188,0.057515,0.050295,0.048728,0.046387,0.051677,0.052739,0.057429,0.059245,0.054692,0.048994,0.053356,0.054459
EGY,0.034212,0.035119,0.035203,0.039267,0.036328,0.043606,0.038728,0.040269,0.050309,0.044318,0.040948,0.045457,0.041928,0.051653,0.044714,0.057031,0.058985,0.054898,0.058089,0.06012
NPL,0.029621,0.02698,0.025387,0.028373,0.028906,0.029728,0.019338,0.024855,0.023867,0.029219,0.035037,0.03919,0.03899,0.023441,0.023919,0.038159,0.037121,0.028382,0.035673,0.035661
KWT,0.0020148,0.0019851,0.0018285,0.0022807,0.0023119,0.0025308,0.0028606,0.0021083,0.0019251,0.0020717,0.0023549,0.0022254,0.0024137,0.0021224,0.0023242,0.0025136,0.002415,0.0024092,0.0023943,0.0022715
MMR,0.10303,0.11122,0.11002,0.13095,0.12458,0.12311,0.099913,0.079153,0.093461,0.12756,0.1198,0.12464,0.1428,0.094692,0.11208,0.15094,0.11579,0.13375,0.144,0.12768
BTN,0.010401,0.0096756,0.008942,0.010131,0.011072,0.010719,0.0083701,0.0067182,0.0077817,0.010839,0.012095,0.012983,0.013786,0.0082022,0.0063225,0.012749,0.0097189,0.0094471,0.013239,0.011462
ESH,0.0033367,0.0032193,0.0030697,0.0030756,0.0035819,0.00351,0.0036771,0.0034534,0.0034174,0.0034429,0.0035835,0.0037382,0.0038222,0.0037205,0.0034036,0.0032987,0.0036331,0.004154,0.0039627,0.0041607
MRT,0.026304,0.022335,0.025103,0.020634,0.026996,0.019522,0.017337,0.023209,0.025698,0.021924,0.023716,0.020884,0.017784,0.021388,0.014325,0.032385,0.016455,0.025545,0.025342,0.026588
BHS,0.0096439,0.0088176,0.0078306,0.0090021,0.008107,0.0099803,0.0104,0.010549,0.006725,0.0069905,0.006973,0.0064516,0.0085435,0.0080092,0.0070701,0.007866,0.006973,0.0083591,0.0079067,0.0078465
BGD,0.054666,0.051122,0.04743,0.053376,0.05834,0.056475,0.044561,0.035993,0.041584,0.057114,0.063443,0.067934,0.072111,0.043553,0.034424,0.066799,0.051392,0.050063,0.069168,0.060148
OMN,0.0082714,0.0091727,0.0085627,0.0080163,0.0089555,0.0097839,0.0095148,0.0094619,0.0084071,0.0091544,0.0096708,0.00945,0.0091006,0.0086863,0.0077933,0.0099136,0.010314,0.0091576,0.0097191,0.0092627
BHR,0.00016597,0.00017767,0.00016627,0.00015908,0.00017792,0.00017195,0.00018656,0.00017119,0.00017167,0.00018379,0.00018491,0.00017974,0.00017675,0.00017157,0.00016391,0.00018454,0.00018311,0.00017308,0.00018096,0.00017746
QAT,0.00088869,0.00095132,0.00089029,0.0008518,0.0009527,0.00092069,0.00099895,0.00091665,0.0009192,0.00098409,0.00099009,0.00096242,0.0009464,0.00091866,0.00087765,0.0009881,0.00098046,0.00092678,0.00096895,0.00095023
ARE,0.0034892,0.0040814,0.0035207,0.0035663,0.0036333,0.0037832,0.0040388,0.0039056,0.0037789,0.0039898,0.0043684,0.0041804,0.0041076,0.003728,0.0035823,0.0048471,0.0051158,0.0044429,0.0045919,0.0043389
CHN,0.0082054,0.0079331,0.0076611,0.0083342,0.007759,0.0076456,0.0074913,0.0071622,0.0061667,0.0091137,0.0094122,0.01002,0.011579,0.0092593,0.0093969,0.0096057,0.0083456,0.0086941,0.009486,0.009441
MLI,0.08946,0.083543,0.085063,0.075275,0.092528,0.062396,0.06163,0.075316,0.093525,0.077706,0.084242,0.072091,0.057548,0.075049,0.048659,0.12119,0.060102,0.095897,0.089136,0.10059
NER,0.057567,0.065502,0.072214,0.058066,0.061075,0.042691,0.044879,0.046069,0.057824,0.053566,0.05284,0.042537,0.043312,0.04856,0.038606,0.0652,0.044434,0.061616,0.049769,0.0581
TCD,0.12326,0.10588,0.11836,0.11888,0.12732,0.11023,0.12139,0.11842,0.14173,0.13122,0.11361,0.10934,0.11063,0.11626,0.094509,0.15687,0.108,0.12678,0.1174,0.12039
VNM,0.068244,0.066997,0.077542,0.084787,0.07579,0.082113,0.06655,0.064937,0.073433,0.087519,0.075102,0.087284,0.094631,0.065609,0.075883,0.10419,0.088983,0.10876,0.11465,0.10241
CUB,0.0182,0.017575,0.017863,0.019232,0.017079,0.017486,0.017873,0.018043,0.015608,0.015895,0.014725,0.015754,0.016558,0.015722,0.015591,0.014216,0.013477,0.016482,0.015673,0.016128
SDN,0.32776,0.29618,0.30902,0.29785,0.29623,0.2935,0.34375,0.30235,0.34491,0.2917,0.31418,0.30802,0.32578,0.32559,0.2792,0.47087,0.33764,0.34034,0.34202,0.31797
